MonitorID	TrueValue	CSObs	ErrorType	CSEindex
2	9	9	0	0
2	38	38	0	1
2	103	103	0	2
2	6	6	0	3
2	87	87	0	4
2	0	0	0	5
2	0	0	0	6
2	2	2	0	7
4	4	4	0	8
4	4	4	0	9
4	14	14	0	10
4	0	0	0	11
4	0	0	0	12
4	18	18	0	13
4	6	6	0	14
4	0	0	0	15
4	6	6	0	16
4	26	26	0	17
4	2	2	0	18
7	0	0	0	19
7	77	77	0	20
7	27	27	0	21
7	120	120	0	22
7	16	16	0	23
7	38	38	0	24
10	10	10	0	25
10	0	0	0	26
10	0	0	0	27
10	13	13	0	28
10	39	39	0	29
10	0	0	0	30
10	4	4	0	31
10	0	0	0	32
10	8	8	0	33
16	6	6	0	34
16	0	0	0	35
16	0	0	0	36
16	0	0	0	37
16	6	6	0	38
16	16	16	0	39
16	0	0	0	40
23	150	150	0	41
23	4	2	3	42
23	30	30	0	43
23	2	2	0	44
23	1	1	0	45
23	22	25	2	46
23	0	0	0	47
23	3	3	0	48
23	0	0	0	49
23	0	0	0	50
23	39	39	0	51
23	45	45	0	52
23	4.5	4.5	0	53
23	12	12	0	54
23	16	14	3	55
23	0	0	0	56
23	0	0	0	57
23	7	7	0	58
24	18	20	2	59
24	0	0	0	60
24	0	0	0	61
39	0	0	0	62
39	19	19	0	63
39	10	10	0	64
39	0	0	0	65
39	2	4	2	66
39	28	28	0	67
39	0	0	0	68
39	0	0	0	69
39	0	0	0	70
40	13	13	0	71
40	12	12	0	72
40	16	16	0	73
40	200	200	0	74
40	30	30	0	75
40	11	11	0	76
52	14	14	0	77
52	5	5	0	78
75	4	4	0	79
75	12	12	0	80
75	0	0	0	81
75	8	8	0	82
75	7	7	0	83
75	19	19	0	84
75	0	0	0	85
75	9	9	0	86
75	16	16	0	87
75	4	4	0	88
89	0	0	0	89
89	0	0	0	90
89	24	24	0	91
91	10	10	0	92
100	0	0	0	93
100	0	0	0	94
100	0	0	0	95
100	42	42	0	96
100	0	0	0	97
100	105	105	0	98
100	165	165	0	99
100	6	8	2	100
100	41	41	0	101
106	17	7.1	3	102
