MonitorID	TrueValue	CSObs	ErrorType	CSEindex	Community
1	168	168	0	0	0
2	2	2	0	1	0
2	25	25	0	2	0
2	3	3	0	3	0
2	10	10	0	4	0
2	55	55	0	5	0
2	75	75	0	6	0
2	28	28	0	7	0
2	51	51	0	8	0
2	3	3	0	9	0
2	0	0	0	10	0
2	12	12	0	11	0
2	5	5	0	12	0
2	16	16	0	13	0
2	7	7	0	14	0
2	17	17	0	15	0
2	21	21	0	16	0
2	15	15	0	17	0
2	5	5	0	18	0
2	43	43	0	19	0
2	5	5	0	20	0
2	16	16	0	21	0
2	127	127	0	22	0
2	3	3	0	23	0
2	8	8	0	24	0
2	25	25	0	25	0
2	3	3	0	26	0
2	8	8	0	27	0
2	0	0	0	28	0
2	10	10	0	29	0
2	0	0	0	30	0
2	27	27	0	31	0
2	18	18	0	32	0
2	4	4	0	33	0
2	29	31	2	34	0
2	42	42	0	35	0
2	6	6	0	36	0
2	0	0	0	37	0
2	13	13	0	38	0
2	2	2	0	39	0
2	42	42	0	40	0
2	6	6	0	41	0
2	10	10	0	42	0
2	6	6	0	43	0
2	18	18	0	44	0
2	12	12	0	45	0
2	4	4	0	46	0
2	17	17	0	47	0
2	0	0	0	48	0
2	0	0	0	49	0
2	0	0	0	50	0
2	19	19	0	51	0
2	8	8	0	52	0
2	44	44	0	53	0
2	0	0	0	54	0
2	4	4	0	55	0
2	36	36	0	56	0
2	11	11	0	57	0
2	21	21	0	58	0
2	36	36	0	59	0
2	16	16	0	60	0
2	15	15	0	61	0
2	5	5	0	62	0
2	0	0	0	63	0
2	65	65	0	64	0
2	42	42	0	65	0
2	0	0	0	66	0
2	4	4	0	67	0
2	0	0	0	68	0
2	38	38	0	69	0
2	2	2	0	70	0
2	19	19	0	71	0
2	14	14	0	72	0
2	6	6	0	73	0
2	23	23	0	74	0
2	32	32	0	75	0
2	3	3	0	76	0
2	27	27	0	77	0
2	10	10	0	78	0
2	16	16	0	79	0
2	0	0	0	80	0
2	0	0	0	81	0
2	0	0	0	82	0
2	0	0	0	83	0
2	33	33	0	84	0
2	31	31	0	85	0
2	25	25	0	86	0
2	3	3	0	87	0
2	5	5	0	88	0
2	18	18	0	89	0
2	35	45	3	90	0
2	20	20	0	91	0
2	5	5	0	92	0
2	3	3	0	93	0
2	10	10	0	94	0
2	6	6	0	95	0
2	3	3	0	96	0
2	17	17	0	97	0
2	4	4	0	98	0
2	26	26	0	99	0
2	0	0	0	100	0
2	15	15	0	101	0
2	3	3	0	102	0
2	0	0	0	103	0
2	0	0	0	104	0
2	6	6	0	105	0
2	1	1	0	106	0
2	0	0	0	107	0
2	4	4	0	108	0
2	21	21	0	109	0
2	0.17	0.17	0	110	0
2	0	0	0	111	0
2	21	21	0	112	0
2	3	3	0	113	0
2	68	68	0	114	0
2	60	60	0	115	0
2	50	50	0	116	0
2	29	29	0	117	0
2	3	3	0	118	0
2	0	0	0	119	0
2	13	13	0	120	0
2	4	4	0	121	0
2	4	4	0	122	0
2	0	0	0	123	0
2	4	4	0	124	0
2	48	48	0	125	0
2	45	45	0	126	0
2	0	0	0	127	0
2	0	0	0	128	0
2	0	0	0	129	0
2	3	3	0	130	0
2	54	54	0	131	0
2	0	0	0	132	0
4	5	5	0	133	0
4	19	19	0	134	0
4	27	27	0	135	0
4	8	8	0	136	0
4	14	14	0	137	0
4	0	0	0	138	0
4	8	8	0	139	0
4	0	0	0	140	0
4	0	0	0	141	0
4	0	0	0	142	0
4	0	0	0	143	0
4	70	70	0	144	0
4	15	15	0	145	0
4	0	0	0	146	0
4	10	10	0	147	0
4	6	6	0	148	0
4	8	8	0	149	0
4	9	9	0	150	0
4	0	0	0	151	0
4	0	0	0	152	0
4	8	8	0	153	0
4	3	3	0	154	0
4	0	0	0	155	0
4	1	1	0	156	0
4	0	0	0	157	0
4	13	13	0	158	0
4	0	0	0	159	0
4	0	0	0	160	0
4	10	10	0	161	0
4	0	0	0	162	0
4	8	8	0	163	0
4	26	26	0	164	0
4	14	14	0	165	0
4	1	1	0	166	0
4	17	17	0	167	0
4	2	2	0	168	0
4	0	0	0	169	0
4	5	5	0	170	0
4	0	0	0	171	0
4	2	2	0	172	0
4	12	12	0	173	0
4	16	16	0	174	0
4	10	10	0	175	0
4	0	0	0	176	0
4	0	0	0	177	0
4	0	0	0	178	0
4	25	25	0	179	0
4	1	1	0	180	0
4	12	12	0	181	0
4	0	0	0	182	0
4	0	0	0	183	0
4	5	5	0	184	0
4	3	3	0	185	0
4	0	0	0	186	0
4	16	16	0	187	0
4	9	9	0	188	0
4	8	8	0	189	0
4	11	11	0	190	0
4	33	33	0	191	0
4	5	5	0	192	0
4	6	6	0	193	0
4	0	0	0	194	0
4	0	0	0	195	0
4	0	0	0	196	0
4	0	0	0	197	0
4	8	8	0	198	0
4	47	47	0	199	0
